Coluna 1,Transcription,Tag,Link,Platform,Views,Classificação
23,Eu desejo que você se cure de tudo aquilo que a depressão te fez perder um dia me diz que eu também não quero vir que a minha cabeça é minha inimiga que ela me trava que ela me derruba que ela faz eu me sentir incapaz mas eu vou lutar contra essa merda aqui até o final essa doença não vai me vencer não vai te vencer já quase perder essa batalha aqui entendeu eu já ela já quase me derrubou quase me tirou daqui e hoje eu não deixo ela me vencer mais fica tentando entender o porquê que essa merda acontece com a gente porque que ela vem minando toda a nossa vontade de fazer tudo aquilo que a gente ama diga que é foda e a gente acorda triste a gente acorda mal sem vontade de fazer as coisas essa merda não pode ser mais forte do que a gente não fica meio Baru fica falando por que que você tá tentando você vai não vai conseguir não vai conseguir me vencer ela não vai o fundo do poço eu já conheci e eu volto de lá quantas vezes precisar tanto que você quer ajuda o tanto que você faz a gente vencer o tanto que você quer Libertador o tanto que o esporte ajuda todo dia que você vê essa procrastinação e vai lá e faz é um dia que você pode comemorar você pode comemorar que você venceu a ansiedade você tá vencendo a sua depressão você tá vencendo isso aqui ó sua mente que é o que mais está,depressao,https://vm.tiktok.com/ZMSY7GutY/,TIK TOK,141.000,EXPERIÊNCIA PESSOAL
25,verdade ele ele e era muito duro ir para sessão de terapia porque eu acho que tem alguns tipos de terapia que te dão algumas opções né fazer análises e ele era o cara que falava assim ele me dava uma opção para sair daqui você tem que querer e eu não queria nada naquele momento né Eu acho que é a é a doença do vazio né é assim você por ser assim hoje eu fico tô cheio de tristeza é melhor é melhor estar cheio de tristeza do que louco do que vazio e desesperançoso de tudo e você não tem nem possibilidade de ficar assim você só está apático perante a vida perante a sensibilidade né lembra que ele me fez uma pergunta assim o que que tu gosta cara eu não sabia responder para ele que eu gostava falei não sei assim eu vou começar a chorar nessa situação sempre que eu percebi que estava acontecendo Eu falei assim cara eu perdi tudo perdi meu tato perdi totalmente desde naturalizado né do dos Sentidos mais básicos do ser humano eu acho que assim naquele momento eu perdi e ele me ajudou muito aos poucos ele ele faz até uma história engraçada que ele muito ele é um cara muito diferente tipo assim mesmo morre de uma cebola e aí porque aquilo ali fiquei incontrolável você mora e a coisa acontece né Então vem assim esse momento é muito marcante pra mim porque tudo de bom Veio desse momento tudo de ruim estava nesse momento nesse momento é um grande catalisador de forma geral pra minha vida como um todo assim caralho cara que depoimento Forte Velho é,depressao,https://vm.tiktok.com/ZMSYvYHXo/,TIK TOK,44.000,EXPERIÊNCIA PESSOAL
29,a gente acorda e trabalha come dorme acorda e trabalha trabalha trabalha trabalha trabalha trabalha,depressao,https://vm.tiktok.com/ZMSYv618E/,TIK TOK,38.000,NÃO INCLUSO
36,eu não tô nem aí não estou bem melhor lugar melhor moto automático eu não como direito eu não durmo direito para sair daqui praticamente impossível,depressao,https://vm.tiktok.com/ZMSYv86w8/,TIK TOK,91.000,OUTRA
37,depressão não é só tristeza a depressão é uma doença grave muita gente por desconhecer os sintomas pensa que a pessoa com depressão só vive quieto e triste pelos cantos Mas é bom reforçar que nem sempre ela se apresenta dessa maneira ela pode ser confundida com tristeza num primeiro momento um sentimento comum que faz parte da vida de qualquer um de nós mas diferente da depressão a tristeza é passageira você pode ficar dois ou três dias desanimado mas com certeza vai passar na depressão A Evolução não é tão simples assim quando uma pessoa está deprimida várias áreas da vida são afetadas não só o humor são sinais que podem ser completamente opostos mas se caracterizam pela intensidade a pessoa pode ter falta de apetite ou fome exagerada Insônia ou sono excessivo ganho ou perda de peso Além disso é comum sentir ansiedade ele estabilidade falta de libido e principalmente um forte sentimento de desesperança que nos extremos pode levar a pensamentos Suicidas se você conhece uma pessoa que apresenta esses sintomas converse com ela e a incentive a buscar ajuda se você mesmo estivesse sentindo assim reúna forças e procure um especialista Porque existe tratamento muitas vezes o tratamento psicoterápico pode ser suficiente mas em alguns casos além da terapia pode ser necessário o uso de antidepressivos Não tenha medo dessas drogas elas podem ser fundamentais para o sucesso do tratamento mas é preciso paciência Esses medicamentos são eficazes mas levam algumas semanas para fazer efeito lembra-se depressão não é frescura Nem sinal de fraqueza frases como vai passar não ajudam o paciente com depressão trata-se de uma doença É como se você dissesse você tem que reagir para um hipertenso e esperar que por vontade própria ele pudesse fazer a pressão arterial se normalizar na verdade esse tipo de atitude só vai fazer o paciente se sentir pior acolhimento essa é a palavra chave para ajudar alguém com depressão,depressao,https://vm.tiktok.com/ZMSYvScLH/,TIK TOK,19.000,ÚTIL
39,ginástica de pressão tá vindo eu vi uma menina fazendo um vídeo desse e eu vou fazer um também que são os meus sinais que a depressão tá vindo que às vezes pode te ajudar a identificar os seus sinais primeiro deles uma vontade de ficar deitado o tempo todo acho que esse é generalizado né todo mundo tem eu não quero sair da cama para nada eu faço as coisas pensando em quando eu vou poder voltar para minha cama Quando eu vou poder ficar deitada ficar sem fazer nada ficar assim parada sabe tipo de fato parada dois mudanças de apetite bruscas tipo assim eu não sou muito de comer doce Mas de repente eu começo a comer muito doce ou aumenta a quantidade de comida ou eu diminuo muita quantidade de comida esse sempre foi um dos meus fatores principais de tipo Opa tem alguma coisa errada 3 Esse é muito interessante que é eu paro de querer tomar remédio eu tomo remédio para bipolaridade e para depressão e para dormir enfim várias coisas quando eu tô em crise depressiva eu não quero tomar remédio nenhum eu paro de ter vontade de querer tomar remédio eu sei da importância dele aí você precisa tomar Eu sei mas eu simplesmente não quero eu tenho que me esforçar muito porque eu fico assim eu só sou feliz por causa desse remédio eu quero ver como eu sou de verdade esses pensamentos vem muito à tona e me dá muita vontade de cortar eu começo a ter muitos pensamentos existenciais tipo muito especial mas essenciais tipo assim o que eu tô fazendo aqui com a minha função no mundo o que que significam todas as coisas eu começo a ter muitas tipos de pensamento aumenta muito e começa a me deixar mais para baixo ainda porque as respostas são sempre subjetivas e são sempre enfim complexas e isso vai me deixando para baixo eu começo a querer me aproximar de amigos estão muito distantes porque eu sei que eles não vão se aproximar tanto de mim tipo é tipo eu acho que é uma vontade de ficar sozinha e aí eu fico tentando justificar minha vontade de querer ficar sozinha aqui na verdade eu tô querendo me aproximar de fulana que tá super distante que não é fácil de se aproximar não necessariamente fácil alguma coisa para me aproximar de fato mas fico com aquela vontade tipo assim ah eu falando a gente podia ser tão amigas mas a gente não é Ai que pena E aí começa a ficar triste obviamente eu paro de querer me arrumar para a gente querer cuidar de mim para de querer sabe colocar uma roupa para ficar em casa quero ficar só de pijama quero não fazer nenhuma maquiagem tipo um tempo maior se tomar banho porque normalmente eu tomo dois banhos por dia e aí eu fico tipo tão só um ou vocês não estão voando naquele dia acontece enfim Esses são os sinais de quando eu tô entrando em depressão que já observei Quais são os seus sinais Você já percebeu é muito importante você saber para você se cuidar para você buscar ajuda antes de entrar no meu pior,depressao,https://vm.tiktok.com/ZMSYvj1Q2/,TIK TOK,49.000,EXPERIÊNCIA PESSOAL
51,eu preciso falar com você é que eu tenho depressão Ah você tá triste e aí eu fico muito mal Nossa nem me fale eu também estou na mesma terminei aquela série que eu tava assistindo meu Deus que tristeza que eu Ai amiga é só sair dessa ânimo vamos embora Pô eu não entendi porque você tem comida você tem uma cama que mais você precisa sentir na África criancinha passando fome aí você não acha que você é meio frescura não você tá reclamando demais que hoje em dia todo mundo tem depressão virou moda agora é por isso que você é meio Preguiçosa né E como que o dia tá lindo vai sair vai fazer alguma coisa amiga é só você ser feliz é só você sorrir a Sabrina Você viu como que ela tá na merda e tá lá sempre sorrindo Ela não fica com essas frescura,depressao,https://vm.tiktok.com/ZMSYvVUHW/,TIK TOK,130.000,OUTRA
53,vem acompanhar comigo esse antes e depois desse cabelo essa cliente teve depressão e ficou um ano sem pentear o cabelo e quem já teve depressão sabe como é complicado a gente primeiro deixa de fazer coisas que gostamos depois coisas que são base comum do nosso dia a dia e ela disse que quando ela percebeu já era tarde demais o cabelo dela tava todo embolado eu fiz todo um tratamento para devolver a autoestima para ela e eu espero que pelo menos um pouquinho ela tem ficado feliz eu hidratei limpei lavei várias vezes passei manteiga agora fiquem com o resultado Claro que não deu para recuperar 100% algumas partes estavam falhas estavam cortadas E aí eu consegui recuperar pelo menos um pouquinho enquanto o cabelo dela cresce e aí eu falei para ela manter trança de fazer outras coisas para poder aproveitar o cabelo e depois fazer um corte certinho,depressao,https://vm.tiktok.com/ZMSYvHeBv/,TIK TOK,91.000,EXPERIÊNCIA PESSOAL
54,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@pensamentosemflor/video/7362514024665255173,TIK TOK,181.000,EXPERIÊNCIA PESSOAL
55,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@lug1.0/video/7360454370737130758,,10.000,SUICÍDIO
57,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@_saraindica/video/7269953060405857541,,43.000,EXPERIÊNCIA PESSOAL
58,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@pensamentosemflor/video/7365280928719015173,,288.000,EXPERIÊNCIA PESSOAL
61,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@bolhanonima/video/7503347954074307845,,121.000,OUTRA
80,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@mente__florida/video/7479942124230724869,,64.000,OUTRA
87,"eu não sei se alguém vai ter o mesmo pensamento que o meu mas às vezes eu fico preocupada em que na melhor fase da minha vida né que é quando a gente é jovem não aproveitei o suficiente precisa tava triste não pude ser a mais bonita mais legal com os mais amigos que eu tava ocupada sendo triste tava ocupada tendo problema de autoestima tipo personalidade que eu não Viajei o mundo inteiro jovem eu tô falando que quando a gente for velho essas coisas não vão acontecer a gente vai ser mais feio mas sabe tipo é uma coisa que todos eu gostaria de ter para sempre é Juventude e saber que a gente tem uma coisa que a gente que muita gente quer e a gente aproveita que a gente tá é uma coisa que eu penso todo dia e me deixa muito triste saber que eu não consigo aproveitar algo que nunca mais vai voltar não importa o dinheiro que tem eu não importa a sabedoria que eu tenho a autoestima que eu tenho é uma coisa sei lá eu penso isso todo dia todo dia e todo dia eu me sinto triste por causa da minha melhor,depressao",depressao,https://www.tiktok.com/@felcarecortes/video/7491691610439306501,,69.000,INDISPONÍVEL
